CPU Name,CPU Mark
06/5f,5830
AArch64,833
AArch64 rev 2 (aarch64),2404
AArch64 rev 4 (aarch64),1813
AC8257V/WAB,827
AC8259V/WAB,940
Allwinner A133,680
Allwinner A333,1325
Allwinner A523,1906
Allwinner A527,2187
Allwinner A733,3095
Allwinner H618,667
Allwinner h728,1953
AMD 3015Ce,2099
AMD 3015e,2618
AMD 3020e,2398
AMD 4700S,17632
AMD A10 Micro-6700T APU,1426
AMD A10 PRO-7350B APU,1862
AMD A10 PRO-7800B APU,3317
AMD A10 PRO-7850B APU,3441
AMD A10-4600M APU,1948
AMD A10-4655M APU,1654
AMD A10-4657M APU,1759
AMD A10-5700 APU,2750
AMD A10-5745M APU,1774
AMD A10-5750M APU,2042
AMD A10-5757M APU,1994
AMD A10-5800B APU,3027
AMD A10-5800K APU,2965
AMD A10-6700 APU,3114
AMD A10-6700T APU,2299
AMD A10-6790B APU,1546
AMD A10-6790K APU,3112
AMD A10-6800B APU,3155
AMD A10-6800K APU,3188
AMD A10-7300 APU,1736
AMD A10-7400P,2134
AMD A10-7700K APU,3181
AMD A10-7800 APU,3214
AMD A10-7850K APU,3390
AMD A10-7860K,3215
AMD A10-7870K,3509
AMD A10-7890K,3537
AMD A10-8700P,2254
AMD A10-8750,3254
AMD A10-8850,3438
AMD A10-9600P,2328
AMD A10-9620P,2515
AMD A10-9630P,3041
AMD A10-9700,3555
AMD A10-9700E,3250
AMD A12-9700P,2421
AMD A12-9720P,2625
AMD A12-9730P,2979
AMD A12-9800,3695
AMD A12-9800E,3416
AMD A4 Micro-6400T APU,1082
AMD A4 PRO-3340B,1709
AMD A4 PRO-7300B APU,1458
AMD A4 PRO-7350B,1544
AMD A4-1200 APU,375
AMD A4-1250 APU,421
AMD A4-1350 APU,911
AMD A4-3300 APU,956
AMD A4-3300M APU,728
AMD A4-3305M APU,767
AMD A4-3310MX APU,800
AMD A4-3320M APU,668
AMD A4-3330MX APU,761
AMD A4-3400 APU,1066
AMD A4-3420 APU,1067
AMD A4-4000 APU,1155
AMD A4-4020 APU,1269
AMD A4-4300M APU,967
AMD A4-4355M APU,801
AMD A4-5000 APU,1284
AMD A4-5050 APU,1328
AMD A4-5100 APU,1301
AMD A4-5150M APU,927
AMD A4-5300 APU,1369
AMD A4-5300B APU,1246
AMD A4-6210 APU,1501
AMD A4-6250J APU,1619
AMD A4-6300 APU,1435
AMD A4-6300B APU,1328
AMD A4-6320 APU,1532
AMD A4-7210 APU,1670
AMD A4-7300 APU,1540
