Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link,Price_IDR,CPU_Score,GPU_Score,Screen_Score
HP 15,Intel Celeron N4500,32GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,43999,https://laptopmedia.com/laptop-specs/hp-15-25096/,https://www.amazon.com/exec/obidos/ASIN/B0FS11JZHK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,703984000,1775,1533,90
HP 15,Intel Core i3-1215U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",256GB SSD,39900,https://laptopmedia.com/laptop-specs/hp-15-25010/,https://www.amazon.com/exec/obidos/ASIN/B0DQXW8M6X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,638400000,10156,1533,20
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,28900,https://laptopmedia.com/laptop-specs/hp-14-9299/,https://www.amazon.com/exec/obidos/ASIN/B0F8V26P2L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,462400000,3000,1533,20
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-14-9077/,https://www.amazon.com/exec/obidos/ASIN/B0F7LLFNX4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,718400000,3000,1533,20
HP 17,Intel Core 5 120U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,71999,https://laptopmedia.com/laptop-specs/hp-17-16772/,https://www.amazon.com/exec/obidos/ASIN/B0FGPMVVFF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1151984000,15341,2595,30
HP 15,Intel Pentium Silver N5030,16GB RAM,Intel UHD Graphics 605,"15.6”, HD (1366 x 768), TN",512GB SSD,53999,https://laptopmedia.com/laptop-specs/hp-15-20585/,https://www.amazon.com/exec/obidos/ASIN/B0FF5CZ933?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,863984000,2526,363,20
HP 14,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-14-6893/,https://www.amazon.com/exec/obidos/ASIN/B0CPKS65P5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,398400000,2443,310,20
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,51900,https://laptopmedia.com/laptop-specs/hp-15-25338/,https://www.amazon.com/exec/obidos/ASIN/B0FVSSHSMR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,830400000,9413,1533,90
HP Chromebook 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD 64GB HDD,21900,https://laptopmedia.com/laptop-specs/hp-chromebook-14-228/,https://www.amazon.com/exec/obidos/ASIN/B0D9NHYR82?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,350400000,2443,310,20
HP 14,Intel Celeron N4500,4GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",64GB SSD,18999,https://laptopmedia.com/laptop-specs/hp-14-9935/,https://www.amazon.com/exec/obidos/ASIN/B0FD5CWRYV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,303984000,1775,1533,20
