Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Lenovo Slim 7i,Intel Core Ultra 7 155H,16GB RAM,Intel Arc (8-Cores),"14.0”, WUXGA (1920 x 1200), OLED",2000GB SSD,121900,https://laptopmedia.com/laptop-specs/lenovo-slim-7i-29/,https://www.amazon.com/exec/obidos/ASIN/B0F1Y96Q8S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,132900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-708/,https://www.amazon.com/exec/obidos/ASIN/B0FM3Y989L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Slim 7,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0″, 2.8K (2880 x 1800), 120 Hz, IPS",1000GB SSD,96900,https://laptopmedia.com/laptop-specs/lenovo-slim-7-39/,https://www.amazon.com/exec/obidos/ASIN/B0FXG754BR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7 2-in-1,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,100900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7-2-in-1-313/,https://www.amazon.com/exec/obidos/ASIN/B0DP2FV5D4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo LOQ 15,AMD Ryzen 5 7235HS,32GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,124999,https://laptopmedia.com/laptop-specs/lenovo-loq-15-1147/,https://www.amazon.com/exec/obidos/ASIN/B0FNW6J89H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7i,Intel Core i5-1240P,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0"", WQXGA (2560 x 1600), IPS",256GB SSD,67999,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-399/,https://www.amazon.com/exec/obidos/ASIN/B0DRCCC9NK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V15 Gen 4,Intel Core i7-13620H,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,84900,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-4-416/,https://www.amazon.com/exec/obidos/ASIN/B0DXL7C9C5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,AMD Ryzen 5 3500U,36GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,80400,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-912/,https://www.amazon.com/exec/obidos/ASIN/B0DJQXGC6L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,46999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2412/,https://www.amazon.com/exec/obidos/ASIN/B0G2K2DW84?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,89999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2304/,https://www.amazon.com/exec/obidos/ASIN/B0FXCQQFV7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
