Videocard Name,Passmark G3D Mark
256MB DDR Radeon 9800 XT,37
6FDF:FF,9528
7900 MOD - Radeon HD 6520G,610
7900 MOD - Radeon HD 6550D,892
A10-12Q,9493
A10-24Q,12089
A10-4Q,3343
A10-8Q,6647
A10G,13598
A16,5280
A16-16Q,3872
A16-1Q,3430
A16-2B,2178
A16-2Q,4747
A16-4Q,3884
A16-8Q,4428
A2-2Q,3331
A2-4Q,4422
A40,740
A40-24Q,3317
A40-48Q,10436
A40-4Q,3278
A40-8Q,7716
A6 Micro-6500T Quad-Core APU with RadeonR4,220
ABIT Siluro T400,3
ALL-IN-WONDER 9000,4
ALL-IN-WONDER 9800,23
ALL-IN-WONDER RADEON 8500DV,5
All-in-Wonder X1800XL,30
All-in-Wonder X1900,127
ALL-IN-WONDER X800 GT,84
AMD Ryzen Z1 Extreme,6439
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
ASUS A7000,9
ASUS AGP-V3800PRO v31.40H,4
ASUS EAH4870x2,496
Asus GTX 650 FML II EC-EGPU,720
ASUS V9520-X V62.11,7
B8DKMDAP,4557
Barco MXRT 1450,205
Barco MXRT 2600,900
Barco MXRT 5400,1161
Barco MXRT 5450,1079
Barco MXRT 5500,2701
Barco MXRT 5600,2465
Barco MXRT 7100,180
Barco MXRT 7400,900
Barco MXRT 7500,3753
Barco MXRT 7600,4943
BASICDISPLAY,69
Beijing Fantasy Technology Fantasy II-M,299
CARRIZO 9874,226
Citrix Indirect Display Adapter,1888
CMP 30HX,4891
CMP 40HX,8748
CONNECT 3D RADEON X300,36
Custom GPU 0405,2929
Custom GPU 0932,3257
CXDisplay Device,13988
Dell 8100,2
Dell 8200,4
Diamond X1300-PCIE 256MB,70
DisplayLink USB Device Ryzen 7 6800H,5414
EAH5450,134
EIZO Quadro MED-XN51LP,4951
EIZO Quadro MED-XN72,9036
EIZO Quadro MED-XN92,17035
Embedded Radeon E9173,1757
Eng Sample: 100-000000560-40_Y,5655
Eng Sample: 100-000000561-40_Y,4206
extension Adapter,6726
Extreme AX850 PRO,120
FireGL T2-128,30
FireGL V3100,52
FireGL V3200,84
FireGL V3300,70
FireGL V3350,68
FireGL V3400,103
FireGL V3600,179
FireGL V5100,92
FireGL V5200,114
FireGL V5600,341
FireGL V7100,71
FireGL V7200,116
FireGL V7300,128
FireGL V7350,110
FireGL V7600,615
FireGL V7700,660
FireGL V8600,838
FireGL V8650,550
FireGL X1,59
FireMV 2200 PCI,1
FireMV 2200 PCIe,36
FireMV 2250,45
FireMV 2260,117
FireMV 2400 PCIe,11
FireMV 2450,73
FirePro 2260,112
FirePro 2270,142
FirePro 2450,51
FirePro 2460,170
FirePro 3D V3700,178
FirePro 3D V3750,341
